

opendaylight-user@root>feature:list
Name                                          | Version          | Installed | Repository                                  | Description                        
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
odl-openflowplugin-all-li                     | 0.2.0-Beryllium  |           | openflowplugin-li-0.2.0-Beryllium           | OpenDaylight :: Openflow Plugin :: All
odl-openflowplugin-southbound-li              | 0.2.0-Beryllium  |           | openflowplugin-li-0.2.0-Beryllium           | OpenDaylight :: Openflow Plugin :: Li southBound A
odl-openflowplugin-flow-services-li           | 0.2.0-Beryllium  |           | openflowplugin-li-0.2.0-Beryllium           | OpenDaylight :: Openflow Plugin :: Flow Services
odl-openflowplugin-nsf-services-li            | 0.2.0-Beryllium  |           | openflowplugin-li-0.2.0-Beryllium           | OpenDaylight :: OpenflowPlugin :: NSF :: Services
odl-openflowplugin-nsf-model-li               | 0.2.0-Beryllium  |           | openflowplugin-li-0.2.0-Beryllium           | OpenDaylight :: OpenflowPlugin :: NSF :: Model
odl-openflowplugin-flow-services-rest-li      | 0.2.0-Beryllium  |           | openflowplugin-li-0.2.0-Beryllium           | OpenDaylight :: Openflow Plugin :: Flow Services :
odl-openflowplugin-flow-services-ui-li        | 0.2.0-Beryllium  |           | openflowplugin-li-0.2.0-Beryllium           | OpenDaylight :: Openflow Plugin :: Flow Services :
odl-openflowplugin-drop-test-li               | 0.2.0-Beryllium  |           | openflowplugin-li-0.2.0-Beryllium           | OpenDaylight :: Openflow Plugin :: Drop Test
odl-openflowplugin-app-table-miss-enforcer-li | 0.2.0-Beryllium  |           | openflowplugin-li-0.2.0-Beryllium           | OpenDaylight :: Openflow Plugin :: Application - t
odl-openflowplugin-app-config-pusher-li       | 0.2.0-Beryllium  |           | openflowplugin-li-0.2.0-Beryllium           | OpenDaylight :: Openflow Plugin :: app - default c
odl-openflowplugin-app-lldp-speaker-li        | 0.2.0-Beryllium  |           | openflowplugin-li-0.2.0-Beryllium           | OpenDaylight :: Openflow Plugin :: app lldp-speake
odl-openflowplugin-app-bulk-o-matic-li        | 0.2.0-Beryllium  |           | openflowplugin-li-0.2.0-Beryllium           | OpenDaylight :: Openflow Plugin :: app bulk flow o
odl-didm-ovs-all                              | 0.2.0-Beryllium  |           | odl-didm-ovs-0.2.0-Beryllium                | OpenDaylight :: DIDM Mininet reference driver
odl-didm-ovs-impl                             | 0.2.0-Beryllium  |           | odl-didm-ovs-0.2.0-Beryllium                | OpenDaylight :: DIDM :: ovs :: Implementation
odl-tcpmd5-all                                | 1.2.0-Beryllium  |           | odl-tcpmd5-1.2.0-Beryllium                  |                                    
odl-tcpmd5-base                               | 1.2.0-Beryllium  |           | odl-tcpmd5-1.2.0-Beryllium                  |                                    
odl-tcpmd5-netty                              | 1.2.0-Beryllium  |           | odl-tcpmd5-1.2.0-Beryllium                  |                                    
odl-tcpmd5-nio                                | 1.2.0-Beryllium  |           | odl-tcpmd5-1.2.0-Beryllium                  |                                    
framework-security                            | 3.0.3            |           | standard-3.0.3                              | OSGi Security for Karaf            
standard                                      | 3.0.3            | x         | standard-3.0.3                              | Karaf standard feature             
aries-annotation                              | 3.0.3            |           | standard-3.0.3                              | Aries Annotations                  
wrapper                                       | 3.0.3            |           | standard-3.0.3                              | Provide OS integration             
service-wrapper                               | 3.0.3            |           | standard-3.0.3                              | Provide OS integration (alias to wrapper feature)
obr                                           | 3.0.3            |           | standard-3.0.3                              | Provide OSGi Bundle Repository (OBR) support
config                                        | 3.0.3            | x         | standard-3.0.3                              | Provide OSGi ConfigAdmin support   
region                                        | 3.0.3            | x         | standard-3.0.3                              | Provide Region Support             
package                                       | 3.0.3            | x         | standard-3.0.3                              | Package commands and mbeans        
http                                          | 3.0.3            | x         | standard-3.0.3                              | Implementation of the OSGI HTTP Service
http-whiteboard                               | 3.0.3            |           | standard-3.0.3                              | Provide HTTP Whiteboard pattern support
war                                           | 3.0.3            | x         | standard-3.0.3                              | Turn Karaf as a full WebContainer  
jetty                                         | 8.1.15.v20140411 |           | standard-3.0.3                              |                                    
kar                                           | 3.0.3            | x         | standard-3.0.3                              | Provide KAR (KARaf archive) support
webconsole                                    | 3.0.3            |           | standard-3.0.3                              | Base support of the Karaf WebConsole
ssh                                           | 3.0.3            | x         | standard-3.0.3                              | Provide a SSHd server on Karaf     
management                                    | 3.0.3            | x         | standard-3.0.3                              | Provide a JMX MBeanServer and a set of MBeans in K
scheduler                                     | 3.0.3            |           | standard-3.0.3                              | Provide a scheduler service in Karaf to fire event
eventadmin                                    | 3.0.3            |           | standard-3.0.3                              | OSGi Event Admin service specification for event-b
jasypt-encryption                             | 3.0.3            |           | standard-3.0.3                              | Advanced encryption support for Karaf security
scr                                           | 3.0.3            |           | standard-3.0.3                              | Declarative Service support        
blueprint-web                                 | 3.0.3            |           | standard-3.0.3                              | Provides an OSGI-aware Servlet ContextListener for
odl-lacp-plugin                               | 1.1.0-Beryllium  |           | lacp-1.1.0-Beryllium                        | Opendaylight :: LACP :: Plugin     
odl-lacp-rest                                 | 1.1.0-Beryllium  |           | lacp-1.1.0-Beryllium                        | Opendaylight :: LACP :: Plugin :: Rest
odl-lacp-ui                                   | 1.1.0-Beryllium  |           | lacp-1.1.0-Beryllium                        | Opendaylight :: LACP :: Plugin :: UI
odl-l2switch-all                              | 0.3.0-Beryllium  |           | l2switch-0.3.0-Beryllium                    | OpenDaylight :: L2Switch :: All    
odl-l2switch-switch                           | 0.3.0-Beryllium  | x         | l2switch-0.3.0-Beryllium                    | OpenDaylight :: L2Switch :: Switch 
odl-l2switch-switch-rest                      | 0.3.0-Beryllium  |           | l2switch-0.3.0-Beryllium                    | OpenDaylight :: L2Switch :: Switch 
odl-l2switch-switch-ui                        | 0.3.0-Beryllium  |           | l2switch-0.3.0-Beryllium                    | OpenDaylight :: L2Switch :: Switch 
odl-l2switch-hosttracker                      | 0.3.0-Beryllium  | x         | l2switch-0.3.0-Beryllium                    | OpenDaylight :: L2Switch :: HostTracker
odl-l2switch-addresstracker                   | 0.3.0-Beryllium  | x         | l2switch-0.3.0-Beryllium                    | OpenDaylight :: L2Switch :: AddressTracker
odl-l2switch-arphandler                       | 0.3.0-Beryllium  | x         | l2switch-0.3.0-Beryllium                    | OpenDaylight :: L2Switch :: ArpHandler
odl-l2switch-loopremover                      | 0.3.0-Beryllium  | x         | l2switch-0.3.0-Beryllium                    | OpenDaylight :: L2Switch :: LoopRemover
odl-l2switch-packethandler                    | 0.3.0-Beryllium  | x         | l2switch-0.3.0-Beryllium                    | OpenDaylight :: L2Switch :: PacketHandler
cxf-specs                                     | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-jaxb                                      | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-abdera                                    | 3.0.2            |           | cxf-3.0.2                                   |                                    
wss4j                                         | 2.0.2            |           | cxf-3.0.2                                   |                                    
cxf-core                                      | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-wsdl                                      | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-ws-policy                                 | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-ws-addr                                   | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-ws-rm                                     | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-ws-mex                                    | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-ws-security                               | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-rt-security                               | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-http                                      | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-http-jetty                                | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-http-async                                | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-http-netty-client                         | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-http-netty-server                         | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-bindings-soap                             | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-jaxws                                     | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-jaxrs                                     | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-rs-security-xml                           | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-rs-security-sso-saml                      | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-rs-security-cors                          | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-rs-security-oauth                         | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-rs-security-oauth2                        | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-databinding-aegis                         | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-databinding-jibx                          | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-databinding-jaxb                          | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-databinding-xmlbeans                      | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-features-clustering                       | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-bindings-corba                            | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-bindings-coloc                            | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-bindings-object                           | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-transports-local                          | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-transports-jms                            | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-transports-udp                            | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-transports-websocket-client               | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-transports-websocket-server               | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-javascript                                | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-frontend-javascript                       | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-xjc-runtime                               | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-tools                                     | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf                                           | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-sts                                       | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-wsn-api                                   | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-wsn                                       | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-ws-discovery-api                          | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-ws-discovery                              | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-bean-validation-core                      | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-bean-validation                           | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-bean-validation-java6                     | 3.0.2            |           | cxf-3.0.2                                   |                                    
cxf-management-web                            | 3.0.2            |           | cxf-3.0.2                                   |                                    
odl-aaa-api                                   | 0.3.0-Beryllium  | x         | odl-aaa-0.3.0-Beryllium                     | OpenDaylight :: AAA :: APIs        
odl-tsdr-hsqldb-all                           | 1.1.0-Beryllium  |           | odl-tsdr-1.1.0-Beryllium                    | OpenDaylight :: TSDR :: With hsqldb Persistence an
odl-tsdr-openflow-statistics-collector        | 1.1.0-Beryllium  |           | odl-tsdr-1.1.0-Beryllium                    | OpenDaylight :: TSDR :: Openflow Statistics Collec
